Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0.915, 0.00293871, 0.0135859, 0.46771, 0.0135859, 0.0506867, 0.0850392, 3
0.92, 0.00294311, 0.0136143, 0.468411, 0.0136143, 0.0491327, 0.100768, 6
0.925, 0.00294927, 0.0136276, 0.469391, 0.0136276, 0.0536985, 0.112737, 5
0.93, 0.00295391, 0.0136626, 0.470129, 0.0136626, 0.0507956, 0.063717, 3
0.935, 0.00295849, 0.0136731, 0.470858, 0.0136731, 0.0514726, 0.0982312, 5
0.94, 0.00296367, 0.0137568, 0.471683, 0.0137568, 0.0520871, 0.127314, 6
0.945, 0.0029689, 0.0137343, 0.472515, 0.0137343, 0.0553156, 0.0867946, 3
0.95, 0.00297363, 0.0137488, 0.473268, 0.0137488, 0.0502243, 0.118987, 5
0.955, 0.00297832, 0.0137841, 0.474015, 0.0137841, 0.0506206, 0.124622, 5
0.96, 0.00298411, 0.0138019, 0.474936, 0.0138019, 0.0528996, 0.119265, 4
0.965, 0.00298842, 0.0138224, 0.475623, 0.0138224, 0.0502192, 0.0893458, 3
0.97, 0.0029935, 0.0138369, 0.47643, 0.0138369, 0.0503816, 0.106299, 6
0.975, 0.00299868, 0.013868, 0.477255, 0.013868, 0.0519243, 0.103122, 6
0.98, 0.00300358, 0.01388, 0.478035, 0.01388, 0.051858, 0.0824714, 4
0.985, 0.00300786, 0.0139074, 0.478715, 0.0139074, 0.0509472, 0.102132, 5
0.99, 0.00301418, 0.0138641, 0.479722, 0.0138641, 0.0556418, 0.101999, 4
0.995, 0.00301782, 0.0139662, 0.480301, 0.0139662, 0.049274, 0.0966727, 5
1, 0.00302294, 0.0139664, 0.481116, 0.0139664, 0.0572029, 0.112003, 6
1.005, 0.0030283, 0.0139858, 0.481969, 0.0139858, 0.0554519, 0.134977, 5
1.01, 0.00303211, 0.0140067, 0.482575, 0.0140067, 0.0528477, 0.123399, 7
1.015, 0.00303787, 0.014049, 0.483492, 0.014049, 0.0498239, 0.136492, 6
1.02, 0.00304216, 0.0140709, 0.484175, 0.0140709, 0.0487044, 0.102601, 4
1.025, 0.00304659, 0.0140749, 0.48488, 0.0140749, 0.051109, 0.103279, 4
1.03, 0.0030516, 0.0141882, 0.485677, 0.0141882, 0.049655, 0.122208, 6
1.035, 0.00305681, 0.0140261, 0.486506, 0.0140261, 0.0523853, 0.103272, 4
1.04, 0.00306118, 0.0141342, 0.487202, 0.0141342, 0.0477138, 0.100899, 4
1.045, 0.00306606, 0.0141646, 0.487979, 0.0141646, 0.0506304, 0.11053, 6
1.05, 0.00307078, 0.0141735, 0.488731, 0.0141735, 0.0505819, 0.112233, 5
1.055, 0.0030751, 0.0141773, 0.489418, 0.0141773, 0.0532198, 0.120934, 6
1.06, 0.00308024, 0.0141939, 0.490236, 0.0141939, 0.0540189, 0.138955, 6
1.065, 0.00308475, 0.0142841, 0.490954, 0.0142841, 0.052182, 0.114948, 4
1.07, 0.00308923, 0.0142789, 0.491666, 0.0142789, 0.0482417, 0.103785, 4
1.075, 0.00309402, 0.0142808, 0.492429, 0.0142808, 0.0489702, 0.100332, 6
1.08, 0.00309917, 0.0142742, 0.493249, 0.0142742, 0.0505862, 0.117487, 5
1.085, 0.00310292, 0.0142986, 0.493845, 0.0142986, 0.0507271, 0.105457, 4
1.09, 0.00310776, 0.0143563, 0.494615, 0.0143563, 0.0509003, 0.136341, 5
1.095, 0.0031119, 0.014384, 0.495275, 0.014384, 0.0503355, 0.111686, 6
