Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
1.035, 0.00305644, 0.0141129, 0.486447, 0.0141129, 0.0492075, 0.108797, 4
1.04, 0.00306125, 0.0141564, 0.487213, 0.0141564, 0.051407, 0.106378, 6
1.045, 0.00306695, 0.0141521, 0.48812, 0.0141521, 0.0547675, 0.120515, 6
1.05, 0.00306957, 0.0141879, 0.488537, 0.0141879, 0.0837852, 0.10835, 5
1.055, 0.0030754, 0.0142009, 0.489466, 0.0142009, 0.0492195, 0.108764, 5
1.06, 0.00308007, 0.01424, 0.490209, 0.01424, 0.050146, 0.0922795, 4
1.065, 0.00308356, 0.0142838, 0.490764, 0.0142838, 0.0489218, 0.120132, 6
1.07, 0.00309001, 0.0142266, 0.49179, 0.0142266, 0.052889, 0.0968256, 4
1.075, 0.00309384, 0.0142572, 0.4924, 0.0142572, 0.0514522, 0.127098, 4
1.08, 0.0030986, 0.0143424, 0.493157, 0.0143424, 0.0509139, 0.110197, 6
1.085, 0.00310291, 0.0142956, 0.493844, 0.0142956, 0.0503849, 0.118017, 7
1.09, 0.003108, 0.0143878, 0.494654, 0.0143878, 0.0502638, 0.0660269, 3
1.095, 0.00311207, 0.0143562, 0.495302, 0.0143562, 0.0500434, 0.1015, 6
1.1, 0.00311797, 0.0143104, 0.496241, 0.0143104, 0.0484225, 0.111247, 5
1.105, 0.00312021, 0.0144869, 0.496596, 0.0144869, 0.0510331, 0.139184, 4
1.11, 0.00312576, 0.0144362, 0.49748, 0.0144362, 0.0543773, 0.124969, 5
1.115, 0.0031307, 0.0144277, 0.498266, 0.0144277, 0.0532976, 0.113777, 5
1.12, 0.00313467, 0.0145118, 0.498898, 0.0145118, 0.050171, 0.0885475, 5
1.125, 0.0031394, 0.0144972, 0.499651, 0.0144972, 0.0516252, 0.106516, 5
1.13, 0.00314353, 0.0144896, 0.500308, 0.0144896, 0.0595191, 0.121318, 4
1.135, 0.00314851, 0.0145522, 0.5011, 0.0145522, 0.051919, 0.119841, 5
1.14, 0.00315288, 0.0145344, 0.501797, 0.0145344, 0.0518158, 0.107394, 4
1.145, 0.00315718, 0.014583, 0.502481, 0.014583, 0.0573448, 0.122918, 6
1.15, 0.00316164, 0.0145907, 0.50319, 0.0145907, 0.0574261, 0.105085, 3
1.155, 0.00316608, 0.0146097, 0.503898, 0.0146097, 0.0522407, 0.0797977, 4
1.16, 0.00317016, 0.0146243, 0.504546, 0.0146243, 0.0542515, 0.128904, 4
1.165, 0.00317446, 0.0146543, 0.505232, 0.0146543, 0.0511028, 0.117562, 6
1.17, 0.00317988, 0.0146731, 0.506093, 0.0146731, 0.0565021, 0.109054, 5
1.175, 0.00318333, 0.0146808, 0.506642, 0.0146808, 0.061854, 0.0974892, 3
1.18, 0.00318778, 0.0147058, 0.507352, 0.0147058, 0.0522509, 0.116735, 7
1.185, 0.00319199, 0.01473, 0.508022, 0.01473, 0.0564543, 0.143455, 5
1.19, 0.00319671, 0.0147457, 0.508772, 0.0147457, 0.05225, 0.109236, 6
1.195, 0.00320044, 0.01473, 0.509365, 0.01473, 0.0536173, 0.108041, 5
1.2, 0.0032053, 0.0148181, 0.51014, 0.0148181, 0.0540985, 0.119993, 6
1.205, 0.00320984, 0.0147565, 0.510861, 0.0147565, 0.0525533, 0.140829, 6
1.21, 0.00321258, 0.0148593, 0.511297, 0.0148593, 0.0527113, 0.0941538, 4
1.215, 0.00321768, 0.0148395, 0.512109, 0.0148395, 0.0508182, 0.131752, 4
1.22, 0.00322188, 0.014827, 0.512779, 0.014827, 0.0519419, 0.0935572, 6
1.225, 0.00322585, 0.0148156, 0.513409, 0.0148156, 0.0572627, 0.116829, 5
1.23, 0.00323055, 0.0149751, 0.514159, 0.0149751, 0.0571664, 0.112368, 4
1.235, 0.00323454, 0.0149196, 0.514793, 0.0149196, 0.0547085, 0.128448, 4
1.24, 0.0032391, 0.0148233, 0.515519, 0.0148233, 0.0548731, 0.101967, 5
1.245, 0.00324214, 0.0150357, 0.516002, 0.0150357, 0.0538741, 0.110094, 4
1.25, 0.00324681, 0.0149838, 0.516746, 0.0149838, 0.0555904, 0.111058, 5
1.255, 0.00324997, 0.0150439, 0.517248, 0.0150439, 0.0516537, 0.117456, 6
1.26, 0.0032558, 0.0149455, 0.518177, 0.0149455, 0.0557313, 0.12107, 4
1.265, 0.00325914, 0.0150237, 0.518708, 0.0150237, 0.0741151, 0.115743, 4
1.27, 0.00326308, 0.0150264, 0.519335, 0.0150264, 0.0557731, 0.104645, 5
1.275, 0.00326789, 0.0150602, 0.520101, 0.0150602, 0.0587055, 0.128732, 5
1.28, 0.00327056, 0.015097, 0.520525, 0.015097, 0.0552379, 0.0990007, 3
1.285, 0.00327517, 0.0151352, 0.52126, 0.0151352, 0.0532603, 0.137218, 5
1.29, 0.00327913, 0.0150573, 0.52189, 0.0150573, 0.0531825, 0.12039, 5
1.295, 0.00328317, 0.0151083, 0.522533, 0.0151083, 0.0515887, 0.114258, 4
1.3, 0.00328707, 0.0151477, 0.523154, 0.0151477, 0.0584857, 0.113697, 5
